0{0: '2023', 1: '11', 2: '07', 3: '17', 4: '03', 5: '09.813853'}
1{0: '2023', 1: '11', 2: '07', 3: '18', 4: '49', 5: '16.924431'}
0{0: '2023', 1: '11', 2: '08', 3: '12', 4: '19', 5: '19.665998'}
1{0: '2023', 1: '11', 2: '08', 3: '16', 4: '27', 5: '21.259709'}
0{0: '2023', 1: '11', 2: '09', 3: '09', 4: '08', 5: '23.408474'}
1{0: '2023', 1: '11', 2: '09', 3: '11', 4: '53', 5: '24.825228'}
0{0: '2023', 1: '11', 2: '13', 3: '13', 4: '18', 5: '29.620367'}
1{0: '2023', 1: '11', 2: '13', 3: '14', 4: '49', 5: '02.166126'}
0{0: '2023', 1: '11', 2: '14', 3: '17', 4: '58', 5: '25.475578'}
1{0: '2023', 1: '11', 2: '14', 3: '18', 4: '55', 5: '33.347192'}
0{0: '2023', 1: '11', 2: '15', 3: '13', 4: '38', 5: '57.237847'}
1{0: '2023', 1: '11', 2: '15', 3: '14', 4: '39', 5: '34.510903'}
0{0: '2023', 1: '11', 2: '16', 3: '10', 4: '58', 5: '34.675953'}
1{0: '2023', 1: '11', 2: '16', 3: '12', 4: '33', 5: '31.423949'}
0{0: '2023', 1: '11', 2: '16', 3: '13', 4: '56', 5: '32.258196'}
1{0: '2023', 1: '11', 2: '16', 3: '14', 4: '55', 5: '15.796808'}
0{0: '2023', 1: '11', 2: '17', 3: '13', 4: '13', 5: '03.667496'}
1{0: '2023', 1: '11', 2: '17', 3: '14', 4: '28', 5: '18.676352'}
0{0: '2023', 1: '11', 2: '19', 3: '16', 4: '00', 5: '16.554087'}
1{0: '2023', 1: '11', 2: '19', 3: '20', 4: '09', 5: '22.935699'}
0{0: '2023', 1: '11', 2: '24', 3: '10', 4: '55', 5: '04.843623'}
1{0: '2023', 1: '11', 2: '24', 3: '13', 4: '29', 5: '40.897178'}
0{0: '2024', 1: '01', 2: '09', 3: '17', 4: '23', 5: '38.533829'}
1{0: '2024', 1: '01', 2: '09', 3: '20', 4: '34', 5: '45.753706'}
